City Name,Median Household Income,City Population
"Pine Valley, CA ",100085.00,1554.00
"Mountain View, CA ",100028.00,76741.00
"Livermore, CA ",99683.00,83901.00
"Moorpark, CA ",99353.00,35033.00
"Thousand Oaks, CA ",99115.00,128126.00
"El Sobrante CDP, CA ",99080.00,14855.00
"Milpitas, CA ",99072.00,69346.00
"Laguna Niguel, CA ",98957.00,64299.00
"Mcswain, CA ",98519.00,4531.00
"Mission Viejo, CA ",98157.00,95246.00
"Santa Ynez, CA ",97911.00,4909.00
"Laguna Beach, CA ",97881.00,23114.00
"Iron Horse, CA ",97829.00,343.00
"Stirling City, CA ",97792.00,154.00
"College City, CA ",97727.00,196.00
"Chino Hills, CA ",97609.00,76187.00
"Deer Park, CA ",97266.00,1072.00
"Hartley, CA ",97100.00,2458.00
"Pacifica, CA ",96875.00,38283.00
"Los Ranchos, CA ",96705.00,1676.00
"Nicasio, CA ",96500.00,95.00
"North Gate, CA ",96333.00,417.00
"Poway, CA ",96315.00,49040.00
"Morgan Hill, CA ",96232.00,39875.00
"Rio Del Mar, CA ",95938.00,9240.00
"Carmel Valley Village, CA ",95444.00,4321.00
"San Antonio Heights, CA ",95250.00,3097.00
"Rose Hills, CA ",94764.00,3260.00
"Lockwood, CA ",94615.00,389.00
"Port Costa, CA ",94018.00,302.00
"Santa Clara, CA ",93840.00,119525.00
"Auburn Lake Trails, CA ",93833.00,3839.00
"Loma Mar, CA ",93810.00,211.00
"Weott, CA ",93393.00,152.00
"Fairfax, CA ",93354.00,7546.00
"Green Valley, CA ",93313.00,1022.00
"Diablo Grande, CA ",92880.00,1083.00
"Lake Forest, CA ",92781.00,78940.00
"Fort Washington, CA ",92566.00,430.00
"Encinitas, CA ",92564.00,61008.00
"Acton, CA ",92245.00,6956.00
"Herald, CA ",92045.00,1221.00
"Irvine, CA ",91999.00,229850.00
"Mcgee Creek, CA ",91860.00,125.00
"Millbrae, CA ",91846.00,22177.00
"San Clemente, CA ",91749.00,64673.00
"Cerritos, CA ",91487.00,49599.00
"Laguna Hills, CA ",91460.00,30768.00
"Campbell, CA ",91269.00,40327.00
"Diamond Bar, CA ",90901.00,56259.00
"Burlingame, CA ",90890.00,29618.00
"Coronado, CA ",90876.00,24333.00
"Sierra Madre, CA ",90780.00,11060.00
"Solana Beach, CA ",90579.00,13146.00
"Channel Islands Beach, CA ",90521.00,2778.00
"Fairview, CA ",90365.00,9852.00
"Monterey Park Tract, CA ",90134.00,273.00
"San Mateo, CA ",90087.00,100114.00
"La Crescenta-Montrose, CA ",89737.00,20241.00
"Los Olivos, CA ",89667.00,913.00
"Claremont, CA ",89648.00,35569.00
"Simi Valley, CA ",89595.00,125699.00
"Casa Conejo, CA ",89432.00,3699.00
"Benicia, CA ",89094.00,27450.00
"Summerland, CA ",89050.00,1575.00
"Agua Dulce, CA ",88864.00,2898.00
"French Valley, CA ",88699.00,26753.00
"Brentwood, CA ",88697.00,54062.00
"Woodacre, CA ",88657.00,1778.00
"Crowley Lake, CA ",88500.00,707.00
"Colma, CA ",88438.00,1837.00
"El Cerrito, CA ",88380.00,24136.00
"Bonny Doon, CA ",88221.00,2752.00
"Strawberry, CA ",87870.00,5684.00
"Bonita, CA ",87666.00,13864.00
"Linden, CA ",87585.00,1948.00
"Carlsbad, CA ",87416.00,109296.00
"Santa Susana, CA ",87386.00,989.00
"Beverly Hills, CA ",87366.00,34536.00
"Camarillo, CA ",87120.00,65985.00
"Ballard, CA ",87083.00,323.00
"Kenwood, CA ",86719.00,1075.00
"Mather, CA ",86705.00,4806.00
"Newark, CA ",86521.00,43635.00
